Date,Open,High,Low,Close,Volume,Adj Close
18-Oct-12,"1,460.94","1,464.02","1,452.63","1,457.34","3,880,030,000","1,457.34"
17-Oct-12,"1,454.22","1,462.20","1,453.35","1,460.91","3,655,320,000","1,460.91"
16-Oct-12,"1,440.31","1,455.51","1,440.31","1,454.92","3,568,770,000","1,454.92"
15-Oct-12,"1,428.75","1,441.31","1,427.24","1,440.13","3,483,810,000","1,440.13"
12-Oct-12,"1,432.84","1,438.43","1,425.53","1,428.59","3,134,750,000","1,428.59"
11-Oct-12,"1,432.82","1,443.90","1,432.82","1,432.84","3,672,540,000","1,432.84"
10-Oct-12,"1,441.48","1,442.52","1,430.64","1,432.56","3,225,060,000","1,432.56"
9-Oct-12,"1,455.90","1,455.90","1,441.18","1,441.48","3,216,320,000","1,441.48"
8-Oct-12,"1,460.93","1,460.93","1,453.10","1,455.88","2,328,720,000","1,455.88"
5-Oct-12,"1,461.40","1,470.96","1,456.89","1,460.93","3,172,940,000","1,460.93"
4-Oct-12,"1,451.08","1,463.14","1,451.08","1,461.40","3,615,860,000","1,461.40"
3-Oct-12,"1,446.05","1,454.30","1,441.99","1,450.99","3,531,640,000","1,450.99"
2-Oct-12,"1,444.99","1,451.52","1,439.01","1,445.75","3,321,790,000","1,445.75"
1-Oct-12,"1,440.90","1,457.14","1,440.90","1,444.49","3,505,080,000","1,444.49"
28-Sep-12,"1,447.13","1,447.13","1,435.60","1,440.67","3,509,230,000","1,440.67"
27-Sep-12,"1,433.36","1,450.20","1,433.36","1,447.15","3,150,330,000","1,447.15"
26-Sep-12,"1,441.60","1,441.60","1,430.53","1,433.32","3,565,380,000","1,433.32"
25-Sep-12,"1,456.94","1,463.24","1,441.59","1,441.59","3,739,900,000","1,441.59"
24-Sep-12,"1,459.76","1,460.72","1,452.06","1,456.89","3,008,920,000","1,456.89"
21-Sep-12,"1,460.34","1,467.07","1,459.51","1,460.15","4,833,870,000","1,460.15"
20-Sep-12,"1,461.05","1,461.23","1,449.98","1,460.26","3,382,520,000","1,460.26"
19-Sep-12,"1,459.50","1,465.15","1,457.88","1,461.05","3,451,360,000","1,461.05"
18-Sep-12,"1,461.19","1,461.47","1,456.13","1,459.32","3,377,390,000","1,459.32"
17-Sep-12,"1,465.42","1,465.63","1,457.55","1,461.19","3,482,430,000","1,461.19"
14-Sep-12,"1,460.07","1,474.51","1,460.07","1,465.77","5,041,990,000","1,465.77"
13-Sep-12,"1,436.56","1,463.76","1,435.34","1,459.99","4,606,550,000","1,459.99"
12-Sep-12,"1,433.56","1,439.15","1,432.99","1,436.56","3,641,200,000","1,436.56"
11-Sep-12,"1,429.13","1,437.76","1,429.13","1,433.56","3,509,630,000","1,433.56"
10-Sep-12,"1,437.92","1,438.74","1,428.98","1,429.08","3,223,670,000","1,429.08"
7-Sep-12,"1,432.12","1,437.92","1,431.45","1,437.92","3,717,620,000","1,437.92"
6-Sep-12,"1,403.74","1,432.12","1,403.74","1,432.12","3,952,870,000","1,432.12"
5-Sep-12,"1,404.94","1,408.81","1,401.25","1,403.44","3,389,110,000","1,403.44"
4-Sep-12,"1,406.54","1,409.31","1,396.56","1,404.94","3,200,310,000","1,404.94"
31-Aug-12,"1,400.07","1,413.09","1,398.96","1,406.58","2,938,250,000","1,406.58"
30-Aug-12,"1,410.08","1,410.08","1,397.01","1,399.48","2,530,280,000","1,399.48"
29-Aug-12,"1,409.32","1,413.95","1,406.57","1,410.49","2,571,220,000","1,410.49"
28-Aug-12,"1,410.44","1,413.63","1,405.59","1,409.30","2,629,090,000","1,409.30"
27-Aug-12,"3,083.62","3,085.81","3,068.13","3,073.19","1,383,530,000","3,073.19"
24-Aug-12,"3,045.22","3,076.80","3,042.22","3,069.79","1,349,740,000","3,069.79"
23-Aug-12,"3,065.82","3,070.34","3,045.52","3,053.40","1,383,860,000","3,053.40"
22-Aug-12,"3,059.94","3,080.73","3,053.43","3,073.67","1,459,130,000","3,073.67"
21-Aug-12,"3,085.25","3,100.54","3,058.74","3,067.26","1,574,220,000","3,067.26"
20-Aug-12,"3,072.66","3,076.21","3,059.90","3,076.21","1,451,550,000","3,076.21"
